matching_idx,policy_area,subtopic_1,subtopic_2
2628,International Affairs,Limiting Military Engagements,Military Force Authorizations
2629,International Affairs,Limiting Military Engagements,Military AUMF Update
2630,International Affairs,Limiting Military Engagements,Military War Powers
2631,International Affairs,Limiting Military Engagements,Military Force Authorizations
2632,International Affairs,Supporting Global Democracy Efforts,Military Support for Israel
2633,International Affairs,Limiting Military Engagements,Military Authority Repeal
2634,International Affairs,Limiting Military Engagements,Military Force Authorization Repeal
2635,International Affairs,Limiting Military Engagements,War Powers Repeal
2636,International Affairs,Supporting Global Democracy Efforts,Support for Israel
2637,Health,Expanding Health Equity Initiatives,Mental Health Funding
2638,Health,Expanding Health Equity Initiatives,Mental Health Funding
2639,Health,Expanding Health Equity Initiatives,Mental Health Access
2640,Government Operations and Politics,Increasing Voter ID Requirements,Voter ID Regulations
2641,"Civil Rights and Liberties, Minority Issues",Expanding Religious Freedom Protections,Religious Freedom Protection
2642,Government Operations and Politics,Increasing Voter ID Requirements,Voter ID Requirements
2643,Government Operations and Politics,Misc.,Misc.
2644,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Systemic Racism Reform
2645,Energy,Increasing Energy Security Measures,Energy Security Assistance
2646,Energy,Increasing Energy Security Measures,Energy Security Funding
2647,Energy,Increasing Energy Security Measures,Energy Emergency Preparedness
2648,Health,Improving Maternal and Infant Health,Newborn Screening Access
2649,Health,Improving Maternal and Infant Health,Newborn Screening Reform
2650,Health,Improving Maternal and Infant Health,Newborn Screening Reform
2651,Health,Improving Maternal and Infant Health,Infant Health Screenings
2652,Commerce,Expanding Small Business Funding,Consumer Product Safety Research
2653,Commerce,Expanding Small Business Funding,Home Safety Legislation
2654,Commerce,Expanding Small Business Funding,Consumer Product Safety
2655,Commerce,Expanding Small Business Funding,Consumer Protection
2656,Commerce,Expanding Small Business Funding,Consumer Product Safety
2657,Commerce,Expanding Small Business Funding,Consumer Protection Technology
2658,Commerce,Expanding Small Business Funding,Consumer Safety Technology
2659,Commerce,Expanding Small Business Funding,Consumer Product Safety Technology
2660,Commerce,Expanding Small Business Funding,Consumer Product Safety Improvements
2661,Commerce,Expanding Small Business Funding,Blockchain Technology Investment
2662,Commerce,Expanding Small Business Funding,Consumer Safety Technology
2663,Commerce,Expanding Small Business Funding,Digital Token Regulation
2664,Commerce,Expanding Small Business Funding,Consumer Product Safety Regulations
2665,Commerce,Expanding Small Business Funding,Infant Safety Standards
2666,Commerce,Expanding Small Business Funding,Safe Sleep for Babies
2667,Commerce,Expanding Small Business Funding,Safe Sleep for Babies
2668,Commerce,Expanding Small Business Funding,Safe Sleep for Babies
2669,Commerce,Expanding Small Business Funding,Consumer Product Safety Regulations
2670,Commerce,Expanding Small Business Funding,Furniture Safety Standards
2671,Commerce,Expanding Small Business Funding,Consumer Product Safety Standards
2672,Commerce,Expanding Small Business Funding,Consumer Protection Legislation
2673,Commerce,Expanding Small Business Funding,Furniture Safety Standards
2674,Commerce,Expanding Small Business Funding,Child Tipover Prevention
2675,Native Americans,Expanding Native American Land Rights,Tribal Health Data Improvement
2676,Native Americans,Expanding Native American Land Rights,Tribal Health Data Access
2677,Native Americans,Expanding Native American Land Rights,Native American Land Rights
2678,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Benefits Fraud Prevention
2679,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Veteran Benefits Fraud Prevention
2680,Crime and Law Enforcement,Misc.,Misc.
2681,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Veterans Benefits Fraud Prevention
2682,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Veterans' Benefits Protection
2683,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Veterans Benefits Fraud Prevention
2684,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Veterans Benefits Fraud Prevention
2685,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Criminal Justice Reform
2686,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Judicial Accountability
2687,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Federal Pretrial Reform
2688,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Criminal Justice Reform
2689,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Federal Pretrial Reform
2690,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Courtroom Justice Access
2691,Crime and Law Enforcement,Misc.,Misc.
2692,Crime and Law Enforcement,Misc.,Misc.
2693,Crime and Law Enforcement,Misc.,Misc.
2694,Crime and Law Enforcement,Misc.,Misc.
2695,Crime and Law Enforcement,Misc.,Misc.
2696,Crime and Law Enforcement,Misc.,Misc.
2697,Crime and Law Enforcement,Misc.,Misc.
2698,Crime and Law Enforcement,Misc.,Misc.
2699,Crime and Law Enforcement,Misc.,Misc.
2700,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Inmate Justice Reform
2701,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Justice for Juveniles Act
2702,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Justice for Juveniles Act
2703,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Juvenile Justice Reform
2704,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Juvenile Justice Reform
2705,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Juvenile Justice
2706,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Prison Reform
2707,Commerce,Expanding Small Business Funding,Copyright Waivers
2708,Commerce,Expanding Small Business Funding,Intellectual Property Rights
2709,Commerce,Expanding Small Business Funding,Creative Entrepreneur Protection
2710,Commerce,Expanding Small Business Funding,Student Creativity Support
2711,Commerce,Expanding Small Business Funding,Artistic Recognition for Talented Students
2712,Immigration,Expanding Immigration Protections,Immigration Policy Changes
2713,Immigration,Expanding Immigration Protections,Portugal Visa Access
2714,Immigration,Expanding Immigration Protections,Visa Program Reform
2715,Immigration,Expanding Immigration Protections,Portugal Visa Benefits
2716,Law,Increasing Judicial Transparency,Bar Association Charter Changes
2717,Law,Increasing Judicial Transparency,Federal Bar Association Charter Amendments
2718,Law,Misc.,Misc.
2719,Law,Increasing Judicial Transparency,Federal Bar Association Charter Changes
2720,Health,Restricting Reproductive Health Funding,Abortion Funding
2721,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
2722,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
2723,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
2724,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
2725,Health,Restricting Reproductive Health Funding,Abortion Funding
2726,Government Operations and Politics,Misc.,Misc.
2727,"Civil Rights and Liberties, Minority Issues",Expanding Juneteenth Holiday Recognition,Juneteenth Recognition
2728,"Civil Rights and Liberties, Minority Issues",Expanding Juneteenth Holiday Recognition,Juneteenth Holiday Recognition
2729,Labor and Employment,Expanding Workforce Development Initiatives,Age Discrimination Legislation
2730,Labor and Employment,Expanding Workforce Development Initiatives,Older Workers Protection
2731,Labor and Employment,Expanding Workforce Development Initiatives,Workplace Discrimination Protection
2732,Labor and Employment,Expanding Workforce Development Initiatives,Workplace Discrimination Protection
2733,Labor and Employment,Increasing Age Discrimination Protections,Workplace Discrimination Protections
2734,Labor and Employment,Expanding Workforce Development Initiatives,Regulatory Regulations
2735,Labor and Employment,Increasing Age Discrimination Protections,Age Discrimination Protection
2736,Labor and Employment,Increasing Age Discrimination Protections,Age Discrimination Protections
2737,Labor and Employment,Expanding Workforce Development Initiatives,Workplace Discrimination Protections
2738,Labor and Employment,Expanding Workforce Development Initiatives,Employment Discrimination
2739,Labor and Employment,Increasing Age Discrimination Protections,Age Discrimination Prevention
2740,Labor and Employment,Expanding Workforce Development Initiatives,Workplace Discrimination Protection
2741,Labor and Employment,Increasing Age Discrimination Protections,Age Discrimination Protection
2742,Labor and Employment,Expanding Workforce Development Initiatives,Older Workers' Employment Rights
2743,Labor and Employment,Expanding Workforce Development Initiatives,Employment Opportunities for Older Workers
2744,Labor and Employment,Increasing Age Discrimination Protections,Age Discrimination Protections
2745,Labor and Employment,Expanding Workforce Development Initiatives,Workplace Discrimination Protection
2746,Labor and Employment,Expanding Workforce Development Initiatives,Older Worker Protection
2747,Labor and Employment,Expanding Workforce Development Initiatives,Older Workers Protection
2748,Labor and Employment,Expanding Workforce Development Initiatives,Workplace Discrimination Protection
2749,Labor and Employment,Increasing Age Discrimination Protections,Workplace Discrimination Reform
2750,Labor and Employment,Increasing Age Discrimination Protections,Age Discrimination Protection
2751,Labor and Employment,Increasing Age Discrimination Protections,Age Discrimination Legislation
2752,Labor and Employment,Increasing Age Discrimination Protections,Age Discrimination Protection
2753,Labor and Employment,Expanding Workforce Development Initiatives,Mixed-motive Discrimination
2754,Labor and Employment,Increasing Age Discrimination Protections,Age Discrimination Protection
2755,Labor and Employment,Expanding Workforce Development Initiatives,Discrimination in Employment
2756,Labor and Employment,Expanding Workforce Development Initiatives,Worker Protection Legislation
2757,Labor and Employment,Increasing Age Discrimination Protections,Age Discrimination Legislation
2758,Labor and Employment,Increasing Age Discrimination Protections,Age Discrimination Reform
2759,Labor and Employment,Increasing Age Discrimination Protections,Age Discrimination Protection
2760,Labor and Employment,Increasing Age Discrimination Protections,Age Discrimination Protections
2761,Labor and Employment,Strengthening Worker Rights,Worker Rights
2762,Labor and Employment,Expanding Workforce Development Initiatives,Employment Law Reform
2763,Labor and Employment,Expanding Workforce Development Initiatives,Discrimination Standards
2764,Labor and Employment,Expanding Workforce Development Initiatives,Older Workers' Rights
2765,Labor and Employment,Increasing Age Discrimination Protections,Age Discrimination Prevention
2766,Labor and Employment,Expanding Workforce Development Initiatives,Workplace Equality
2767,Government Operations and Politics,Expanding Voting Rights Access,Voter Rights Protection
2768,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
2769,Taxation,Expanding Tax Incentives Accountability,GPS Interference Protection
2770,Taxation,Expanding Tax Incentives Accountability,Tax Accountability
2771,Taxation,Expanding Tax Incentives Accountability,Military Justice Reform
2772,Taxation,Expanding Tax Incentives Accountability,Legislative filibuster
2773,Environmental Protection,Strengthening Water Protection Policies,Administrative Rule Enforcement
2774,Armed Forces and National Security,Misc.,Misc.
2775,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veterans' Healthcare Access
2776,Armed Forces and National Security,Expanding Veteran Healthcare Access,Veteran Healthcare Access
2777,Armed Forces and National Security,Expanding Veteran Healthcare Access,Veteran Healthcare Access
2778,Armed Forces and National Security,Misc.,Misc.
2779,Armed Forces and National Security,Military Accountability Measures,Military Accountability
2780,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veterans Healthcare Access
2781,Armed Forces and National Security,Misc.,Misc.
2782,Armed Forces and National Security,Misc.,Misc.
2783,Armed Forces and National Security,Expanding Veteran Healthcare Access,Veteran Healthcare Access
2784,Armed Forces and National Security,Expanding Veteran Healthcare Access,Veteran Healthcare Access
2785,Armed Forces and National Security,Misc.,Misc.
2786,Armed Forces and National Security,Military Accountability Measures,Military Accountability
2787,Armed Forces and National Security,Misc.,Misc.
2788,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veteran Healthcare Access
2789,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veterans Healthcare Access
2790,Armed Forces and National Security,Misc.,Misc.
2791,Armed Forces and National Security,Misc.,Misc.
2792,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veterans Healthcare Access
2793,Finance and Financial Sector,Financial Accountability Expansion,Small Business Loan Data Collection
2794,Finance and Financial Sector,Financial Accountability Expansion,LGBTQ Business Lending Transparency
2795,Finance and Financial Sector,Financial Accountability Expansion,Diversity Inclusion Reform
2796,Finance and Financial Sector,Financial Accountability Expansion,LGBTQ Discrimination Prevention
2797,Finance and Financial Sector,Strengthening Debt Collection Protections,Data Collection Policy
2798,Finance and Financial Sector,Financial Accountability Expansion,LGBTQ Lending Protection
2799,Finance and Financial Sector,Financial Accountability Expansion,Equity Access to Credit
2800,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
2801,Health,Misc.,Misc.
2802,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
2803,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
2804,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
2805,Agriculture and Food,Increasing Food Accessibility,Climate Action
2806,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
2807,Health,Misc.,Misc.
2808,Health,Expanding Abortion Rights,Abortion Rights
2809,Law,Increasing Judicial Transparency,Clemency Home Rule
2810,Crime and Law Enforcement,Protecting Gun Ownership Rights,Gun Ownership Rights
2811,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
2812,International Affairs,Increasing Foreign Aid Accountability,Foreign Aid Accountability
2813,International Affairs,Misc.,Misc.
2814,International Affairs,Misc.,Misc.
2815,International Affairs,Misc.,Misc.
2816,International Affairs,Increasing Foreign Aid Accountability,COVID Accountability
2817,International Affairs,Misc.,Misc.
2818,International Affairs,Misc.,Misc.
2819,International Affairs,Misc.,Misc.
2820,International Affairs,Misc.,Misc.
2821,International Affairs,Expanding Human Rights Protections,Counterterrorism Cooperation
2822,International Affairs,Misc.,Misc.
2823,International Affairs,Misc.,Misc.
2824,International Affairs,Misc.,Misc.
2825,Economics and Public Finance,Increasing Government Spending Accountability,Haiti Development Assistance
2826,Economics and Public Finance,Increasing Government Spending Accountability,Haiti Aid Aid Accountability
2827,Economics and Public Finance,Increasing Government Spending Accountability,Haiti Policy Accountability
2828,Economics and Public Finance,Increasing Government Spending Accountability,Support for Haiti Support
2829,Economics and Public Finance,Increasing Government Spending Accountability,Human Rights in Haiti
2830,International Affairs,Misc.,Misc.
2831,International Affairs,Increasing Foreign Aid Accountability,Global Education Funding
2832,International Affairs,Increasing Foreign Aid Accountability,Foreign Aid Accountability
2833,International Affairs,Increasing Foreign Aid Accountability,Global Education Funding
2834,International Affairs,Increasing Foreign Aid Accountability,Foreign Aid Accountability
2835,International Affairs,Misc.,Misc.
2836,"Science, Technology, Communications",Misc.,Misc.
2837,"Science, Technology, Communications",Increasing Research Funding Support,Research Funding Support
2838,"Science, Technology, Communications",Misc.,Misc.
2839,"Science, Technology, Communications",Misc.,Misc.
2840,"Science, Technology, Communications",Misc.,Misc.
2841,"Science, Technology, Communications",Misc.,Misc.
2842,"Science, Technology, Communications",Increasing Research Funding Support,Research Funding Support
2843,"Science, Technology, Communications",Expanding STEM Education Access,STEM Education Funding
2844,"Science, Technology, Communications",Increasing Research Funding Support,Research Funding Support
2845,"Science, Technology, Communications",Misc.,Misc.
2846,"Science, Technology, Communications",Misc.,Misc.
2847,"Science, Technology, Communications",Misc.,Misc.
2848,"Science, Technology, Communications",Expanding STEM Education Access,National Recognition for Teachers
2849,"Science, Technology, Communications",Misc.,Misc.
2850,"Science, Technology, Communications",Misc.,Misc.
2851,"Science, Technology, Communications",Misc.,Misc.
2852,"Science, Technology, Communications",Misc.,Misc.
2853,"Science, Technology, Communications",Misc.,Misc.
2854,"Science, Technology, Communications",Increasing Research Funding Support,Research Funding Support
2855,"Science, Technology, Communications",Misc.,Misc.
2856,Immigration,Expanding Immigration Protections,Special Immigrant Status Waiver
2857,Immigration,Expanding Immigration Protections,Special Immigrant Visa Reform
2858,Immigration,Expanding Immigration Protections,Green Card Applicants
2859,Immigration,Expanding Immigration Protections,Afghan Special Immigrant Visa Reform
2860,Immigration,Expanding Immigration Protections,Afghanistan Special Immigrant Visa Program
2861,Immigration,Expanding Immigration Protections,Afghanistan Support Act
2862,International Affairs,Misc.,Misc.
2863,Health,Restricting Reproductive Health Funding,Abortion Funding
2864,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
2865,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
2866,"Science, Technology, Communications",Misc.,Misc.
2867,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
2868,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
2869,Health,Misc.,Misc.
2870,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding
2871,Health,Expanding Health Equity Initiatives,Essential Caregivers Rights
2872,Government Operations and Politics,Misc.,Misc.
2873,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
2874,Health,Restricting Reproductive Health Funding,Abortion Funding Restrictions
2875,Health,Misc.,Misc.
2876,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2877,Transportation and Public Works,Increasing Infrastructure Funding,Infrastructure Funding
2878,Commerce,Expanding Small Business Funding,Consumer Autonomy in Repair
2879,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding
2880,Transportation and Public Works,Increasing Transportation Funding,Transportation Infrastructure Investment
2881,Transportation and Public Works,Increasing Infrastructure Funding,Infrastructure Funding Priorities
2882,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2883,Transportation and Public Works,Aviation Safety Oversight Expansions,COVID-19 Mandates
2884,Transportation and Public Works,Aviation Safety Oversight Expansions,Emergency Powers Oversight
2885,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Regulations
2886,Transportation and Public Works,Misc.,Misc.
2887,Transportation and Public Works,Aviation Safety Oversight Expansions,Energy Independence
2888,Transportation and Public Works,Aviation Safety Oversight Expansions,Fossil Fuel Production
2889,Transportation and Public Works,Aviation Safety Oversight Expansions,Fossil Fuel Ban
2890,Transportation and Public Works,Aviation Safety Oversight Expansions,Fossil Fuel Industry Transition
2891,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding
2892,Transportation and Public Works,Increasing Transportation Funding,Electric Vehicle Funding
2893,Transportation and Public Works,Aviation Safety Oversight Expansions,Energy Production Policy
2894,Transportation and Public Works,Aviation Safety Oversight Expansions,Renewable Energy Independence
2895,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2896,Transportation and Public Works,Increasing Transportation Funding,Fossil Fuel Replacement
2897,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2898,Transportation and Public Works,Increasing Infrastructure Funding,Infrastructure Funding
2899,Transportation and Public Works,Aviation Safety Oversight Expansions,Renewable Energy Independence
2900,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding
2901,Transportation and Public Works,Aviation Safety Oversight Expansions,Healthcare Access
2902,Transportation and Public Works,Misc.,Misc.
2903,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2904,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2905,Transportation and Public Works,Misc.,Misc.
2906,Transportation and Public Works,Increasing Transportation Funding,Transportation Infrastructure Investment
2907,Transportation and Public Works,Increasing Transportation Funding,Transportation Infrastructure Investment
2908,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2909,Transportation and Public Works,Aviation Safety Oversight Expansions,Transportation Infrastructure Funding
2910,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2911,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding
2912,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2913,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2914,Transportation and Public Works,Increasing Infrastructure Funding,Infrastructure Funding Cuts
2915,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding
2916,Transportation and Public Works,Increasing Infrastructure Funding,Infrastructure Funding
2917,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2918,Transportation and Public Works,Misc.,Misc.
2919,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2920,Transportation and Public Works,Increasing Infrastructure Funding,Infrastructure Funding
2921,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2922,Transportation and Public Works,Increasing Infrastructure Funding,Infrastructure Funding Accountability
2923,Transportation and Public Works,Aviation Safety Oversight Expansions,Racial Justice
2924,Transportation and Public Works,Increasing Infrastructure Funding,Infrastructure Funding Cuts
2925,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2926,Transportation and Public Works,Aviation Safety Oversight Expansions,Fossil Fuel Emission Reduction
2927,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2928,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2929,Transportation and Public Works,Increasing Infrastructure Funding,Green New Deal Funding
2930,Transportation and Public Works,Increasing Transportation Funding,Transit Funding
2931,Transportation and Public Works,Increasing Infrastructure Funding,Infrastructure Funding
2932,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2933,Transportation and Public Works,Increasing Infrastructure Funding,Infrastructure Funding
2934,Transportation and Public Works,Increasing Infrastructure Funding,Infrastructure Funding
2935,Transportation and Public Works,Increasing Infrastructure Funding,Police Funding Cuts
2936,Transportation and Public Works,Increasing Infrastructure Funding,Infrastructure Funding
2937,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2938,Transportation and Public Works,Misc.,Misc.
2939,Transportation and Public Works,Misc.,Misc.
2940,Transportation and Public Works,Misc.,Misc.
2941,Transportation and Public Works,Aviation Safety Oversight Expansions,Autonomous Vehicle Safety
2942,Transportation and Public Works,Misc.,Misc.
2943,Transportation and Public Works,Aviation Safety Oversight Expansions,Auto Safety Legislation
2944,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Resiliency Investments
2945,Transportation and Public Works,Misc.,Misc.
2946,Transportation and Public Works,Misc.,Misc.
2947,Transportation and Public Works,Aviation Safety Oversight Expansions,Regulatory Mandates
2948,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding
2949,Transportation and Public Works,Aviation Safety Oversight Expansions,Auto Safety Legislation
2950,Transportation and Public Works,Misc.,Misc.
2951,Transportation and Public Works,Misc.,Misc.
2952,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2953,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding
2954,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding Accountability
2955,Transportation and Public Works,Aviation Safety Oversight Expansions,Disability Access Accessibility
2956,Transportation and Public Works,Increasing Transportation Funding,Commuter Rail Expansion
2957,Transportation and Public Works,Aviation Safety Oversight Expansions,Climate Change Mandates
2958,Transportation and Public Works,Increasing Infrastructure Funding,Energy Innovation Funding
2959,Transportation and Public Works,Increasing Transportation Funding,Cross Bronx Expressway Capping
2960,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding
2961,Transportation and Public Works,Aviation Safety Oversight Expansions,Energy Independence
2962,Transportation and Public Works,Increasing Transportation Funding,Transportation Equity
2963,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2964,Transportation and Public Works,Aviation Safety Oversight Expansions,Veteran Employment Opportunities
2965,Transportation and Public Works,Increasing Transportation Funding,Transit Funding Flexibility
2966,Transportation and Public Works,Increasing Transportation Funding,Electric Vehicle Investment
2967,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Oversight
2968,Transportation and Public Works,Aviation Safety Oversight Expansions,Natural Gas Emissions Reduction
2969,Transportation and Public Works,Aviation Safety Oversight Expansions,Foreign Energy Dependency
2970,Transportation and Public Works,Aviation Safety Oversight Expansions,Transportation Safety Reform
2971,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding Accountability
2972,Transportation and Public Works,Increasing Infrastructure Funding,Culvert Restoration Funding
2973,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2974,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2975,Transportation and Public Works,Increasing Infrastructure Funding,Infrastructure Funding
2976,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2977,Transportation and Public Works,Aviation Safety Oversight Expansions,Equine Export Restrictions
2978,Transportation and Public Works,Aviation Safety Oversight Expansions,Horse Slaughter Ban
2979,Transportation and Public Works,Increasing Transportation Funding,Public Transit Funding
2980,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2981,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2982,Transportation and Public Works,Increasing Transportation Funding,Rail Funding Reform
2983,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2984,Transportation and Public Works,Aviation Safety Oversight Expansions,Climate Change Action
2985,Transportation and Public Works,Aviation Safety Oversight Expansions,Fossil Fuel Policy
2986,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding Policy
2987,Transportation and Public Works,Misc.,Misc.
2988,Transportation and Public Works,Increasing Infrastructure Funding,Infrastructure Funding Restrictions
2989,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Reform
2990,Transportation and Public Works,Increasing Infrastructure Funding,Communist Party Funding
2991,Transportation and Public Works,Increasing Transportation Funding,Amtrak Expansion
2992,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding
2993,Transportation and Public Works,Increasing Transportation Funding,Transit Funding Policy
2994,Transportation and Public Works,Increasing Infrastructure Funding,Infrastructure Funding
2995,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
2996,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding
2997,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Oversight
2998,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Oversight
2999,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Representation Equality
3000,Transportation and Public Works,Aviation Safety Oversight Expansions,Greenhouse Gas Emissions Measurement
3001,Transportation and Public Works,Increasing Transportation Funding,Electric Vehicle Infrastructure
3002,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Oversight
3003,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
3004,Transportation and Public Works,Increasing Transportation Funding,High-speed Rail Funding
3005,Transportation and Public Works,Increasing Transportation Funding,High-speed Rail Funding
3006,Transportation and Public Works,Aviation Safety Oversight Expansions,Pollinator Conservation
3007,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
3008,Transportation and Public Works,Aviation Safety Oversight Expansions, booster seat safety regulations
3009,Transportation and Public Works,Aviation Safety Oversight Expansions,Climate Change Denial
3010,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding Cuts
3011,Transportation and Public Works,Increasing Transportation Funding,Livestock Transport Flexibility
3012,Transportation and Public Works,Aviation Safety Oversight Expansions,Local Government Control
3013,Transportation and Public Works,Increasing Transportation Funding,Congestion Mitigation Funding
3014,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding Reform
3015,Transportation and Public Works,Increasing Transportation Funding,Transportation Funding Reform
3016,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Oversight
3017,Transportation and Public Works,Aviation Safety Oversight Expansions,Border Security
3018,Transportation and Public Works,Aviation Safety Oversight Expansions,Border Security
3019,Transportation and Public Works,Misc.,Misc.
3020,Transportation and Public Works,Misc.,Misc.
3021,Transportation and Public Works,Misc.,Misc.
3022,Transportation and Public Works,Increasing Transportation Funding,Electric Vehicle Subsidies
3023,Transportation and Public Works,Aviation Safety Oversight Expansions,Mobility Safety Legislation
3024,Transportation and Public Works,Aviation Safety Oversight Expansions,Bike Safety Regulations
3025,Transportation and Public Works,Aviation Safety Oversight Expansions,National Drinking Water Standards
3026,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
3027,Transportation and Public Works,Increasing Infrastructure Investment,Infrastructure Investment
3028,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Oversight
3029,Transportation and Public Works,Misc.,Misc.
3030,Transportation and Public Works,Aviation Safety Oversight Expansions,Climate Resiliency Funding
3031,Transportation and Public Works,Aviation Safety Oversight Expansions,Climate Change Regulations
3032,Transportation and Public Works,Aviation Safety Oversight Expansions,Infrastructure Funding Accountability
3033,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Oversight
3034,Transportation and Public Works,Increasing Infrastructure Funding,Federal Funding for Infrastructure
