policy_area,gpt_label,document_index,new_subtopic
Emergency Management,Border Security and Immigration Policies,2407,Border Security and Immigration Policies
Emergency Management,Border Security and Immigration Policies,2408,Immigration Enforcement Issues
Emergency Management,Border Security and Immigration Policies,2413,Immigration Enforcement Issues
Emergency Management,Border Security and Immigration Policies,2409,Illegal Labor Market Impact
Emergency Management,Border Security and Immigration Policies,2414,Border Security and Immigration Policies
Emergency Management,Border Security and Immigration Policies,2416,Border Security Issues
Emergency Management,Border Security and Immigration Policies,2418,Border Security and Immigration Policies
Emergency Management,Border Security and Immigration Policies,801,Climate Change and National Security
Emergency Management,Border Security and Immigration Policies,1741,Climate Change and National Security
Emergency Management,Border Security and Immigration Policies,1742,Climate Change and National Security
Emergency Management,Border Security and Immigration Policies,2421,Climate Change and Homeland Security
Emergency Management,Border Security and Immigration Policies,2423,Border Security and Immigration Policies
Energy,Strategic Petroleum Reserve Governance and Issues,158,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,177,Strategic Petroleum Reserve Management
Energy,Strategic Petroleum Reserve Governance and Issues,272,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,978,Strategic Petroleum Reserve Management
Energy,Strategic Petroleum Reserve Governance and Issues,168,Strategic Petroleum Reserve Management
Energy,Strategic Petroleum Reserve Governance and Issues,172,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,175,Strategic Petroleum Reserve Abuse
Energy,Strategic Petroleum Reserve Governance and Issues,212,Strategic Petroleum Reserve Abuse
Energy,Strategic Petroleum Reserve Governance and Issues,290,Strategic Petroleum Reserve Use
Energy,Strategic Petroleum Reserve Governance and Issues,180,Strategic Petroleum Reserve Funding
Energy,Strategic Petroleum Reserve Governance and Issues,186,Strategic Petroleum Reserve Management
Energy,Strategic Petroleum Reserve Governance and Issues,976,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,181,Strategic Petroleum Reserve Accountability
Energy,Strategic Petroleum Reserve Governance and Issues,182,Strategic Petroleum Reserve Use
Energy,Strategic Petroleum Reserve Governance and Issues,221,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,304,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,334,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,338,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,340,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,348,Strategic Petroleum Reserve Use
Energy,Strategic Petroleum Reserve Governance and Issues,367,Strategic Petroleum Reserve Use
Energy,Strategic Petroleum Reserve Governance and Issues,199,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,300,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,979,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,224,Strategic Petroleum Reserve Oversight
Energy,Strategic Petroleum Reserve Governance and Issues,236,Strategic Petroleum Reserve Trust Issues
Energy,Strategic Petroleum Reserve Governance and Issues,238,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,277,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,278,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,309,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,279,Strategic Petroleum Reserve Reform
Energy,Strategic Petroleum Reserve Governance and Issues,305,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,306,Strategic Petroleum Reserve Efficiency
Energy,Strategic Petroleum Reserve Governance and Issues,358,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,372,Strategic Petroleum Reserve Politics
Energy,Strategic Petroleum Reserve Governance and Issues,374,Strategic Petroleum Reserve Governance
Energy,Strategic Petroleum Reserve Governance and Issues,377,Strategic Petroleum Reserve Management
Energy,Strategic Petroleum Reserve Governance and Issues,977,Strategic Petroleum Reserve Governance
Energy,Energy Security and Policy Reform,159,Energy Security and Gas Prices
Energy,Energy Security and Policy Reform,165,Energy Security Concerns
Energy,Energy Security and Policy Reform,167,Opposition to H.R. 21
Energy,Energy Security and Policy Reform,173,Opposition to H.R. 21
Energy,Energy Security and Policy Reform,178,Opposition to H.R. 21
Energy,Energy Security and Policy Reform,359,Opposition to H.R. 21
Energy,Energy Security and Policy Reform,364,Opposition to H.R. 21
Energy,Energy Security and Policy Reform,160,Energy Security Concerns
Energy,Energy Security and Policy Reform,161,Energy Security and Policy Reform
Energy,Energy Security and Policy Reform,162,Energy Independence and Accountability
Energy,Energy Security and Policy Reform,1030,Energy Security Accountability
Energy,Energy Security and Policy Reform,163,Big Oil and Public Lands
Energy,Energy Security and Policy Reform,164,Energy Security Concerns
Energy,Energy Security and Policy Reform,166,Energy Security Concerns
Energy,Energy Security and Policy Reform,194,Energy Security Concerns
Energy,Energy Security and Policy Reform,307,Energy Security Concerns
Energy,Energy Security and Policy Reform,331,Energy Security Concerns
Energy,Energy Security and Policy Reform,1488,Energy Security Concerns
Energy,Energy Security and Policy Reform,169,Domestic Energy Production
Energy,Energy Security and Policy Reform,256,Domestic Energy Production
Energy,Energy Security and Policy Reform,785,Energy Independence and Policy Reform
Energy,Energy Security and Policy Reform,827,Domestic Energy Production
Energy,Energy Security and Policy Reform,851,Domestic Energy Production
Energy,Energy Security and Policy Reform,865,Energy Production and Policy Reform
Energy,Energy Security and Policy Reform,875,Domestic Energy Production
Energy,Energy Security and Policy Reform,905,Domestic Energy Production Reform
Energy,Energy Security and Policy Reform,913,Energy Costs and Policy Reform
Energy,Energy Security and Policy Reform,915,Domestic Energy Production
Energy,Energy Security and Policy Reform,932,Domestic Energy Production
Energy,Energy Security and Policy Reform,1056,Domestic Energy Production
Energy,Energy Security and Policy Reform,170,Strategic Production Response Act
Energy,Energy Security and Policy Reform,273,Strategic Production Response Act
Energy,Energy Security and Policy Reform,330,Domestic Energy Production
Energy,Energy Security and Policy Reform,171,Energy Security and Big Oil
Energy,Energy Security and Policy Reform,174,Energy Policy Reform
Energy,Energy Security and Policy Reform,176,Public Lands and Fossil Fuel Policy
Energy,Energy Security and Policy Reform,179,Energy Security Concerns
Energy,Energy Security and Policy Reform,183,Energy Security Reform
Energy,Energy Security and Policy Reform,184,Gas Prices and Energy Policy
Energy,Energy Security and Policy Reform,193,Gas Prices and Energy Policy
Energy,Energy Security and Policy Reform,323,Energy Production and Prices
Energy,Energy Security and Policy Reform,185,Gas Prices and Policy Reform
Energy,Energy Security and Policy Reform,187,Gas Prices and Energy Policy
Energy,Energy Security and Policy Reform,322,Gas Prices and Energy Policy
Energy,Energy Security and Policy Reform,188,Energy Supply and Policy Reform
Energy,Energy Security and Policy Reform,189,Energy Production and Policy Reform
Energy,Energy Security and Policy Reform,275,Energy Security and National Security
Energy,Energy Security and Policy Reform,190,Energy Prices and Policy Reform
Energy,Energy Security and Policy Reform,191,Energy Policy Reform
Energy,Energy Security and Policy Reform,192,Energy Independence and Policy Reform
Energy,Energy Security and Policy Reform,195,Energy Policy Critique
Energy,Energy Security and Policy Reform,196,Energy Policy Critique
Energy,Energy Security and Policy Reform,311,Energy Policy Debate
Energy,Energy Security and Policy Reform,788,Energy Policy Reform
Energy,Energy Security and Policy Reform,792,Energy Policy Critique
Energy,Energy Security and Policy Reform,808,Energy Policy Reform
Energy,Energy Security and Policy Reform,816,Energy Policy Challenges
Energy,Energy Security and Policy Reform,832,Energy Policy Critique
Energy,Energy Security and Policy Reform,835,Energy Policy Reform
Energy,Energy Security and Policy Reform,841,Energy Policy Critique
Energy,Energy Security and Policy Reform,885,Energy Policy Reform
Energy,Energy Security and Policy Reform,896,Energy Policy Concerns
Energy,Energy Security and Policy Reform,963,Energy Policy Critique
Energy,Energy Security and Policy Reform,964,Energy Policy Critique
Energy,Energy Security and Policy Reform,1093,Energy Policy Critique
Energy,Energy Security and Policy Reform,1284,Energy Policy Critique
Energy,Energy Security and Policy Reform,197,Energy Security Legislation
Energy,Energy Security and Policy Reform,198,Energy Policy Reform
Energy,Energy Security and Policy Reform,763,Energy Policy Reform
Energy,Energy Security and Policy Reform,843,Energy Policy Reform
Energy,Energy Security and Policy Reform,923,Energy Policy Reform
Energy,Energy Security and Policy Reform,200,Offshore Oil Drilling Policy
Energy,Energy Security and Policy Reform,201,Offshore Drilling Regulation
Energy,Energy Security and Policy Reform,332,Offshore Drilling Ban
Energy,Energy Security and Policy Reform,202,Offshore Drilling and Renewable Energy
Energy,Energy Security and Policy Reform,203,Offshore Wind Regulation Issues
Energy,Energy Security and Policy Reform,204,Offshore Drilling in the North Atlantic
Energy,Energy Security and Policy Reform,205,Offshore Oil and Gas Leasing
Energy,Energy Security and Policy Reform,206,Offshore Drilling Moratorium
Energy,Energy Security and Policy Reform,207,Offshore Drilling Policy
Energy,Energy Security and Policy Reform,208,Oil Drilling Offshore Territories
Energy,Energy Security and Policy Reform,209,Offshore Oil Drilling Restrictions
Energy,Energy Security and Policy Reform,210,Energy Security and Policy Reform
Energy,Energy Security and Policy Reform,848,Energy independence and national security
Energy,Energy Security and Policy Reform,850,Energy Independence and National Security
Energy,Energy Security and Policy Reform,853,Energy Independence and Policy Reform
Energy,Energy Security and Policy Reform,1091,Energy Independence and National Security
Energy,Energy Security and Policy Reform,211,Energy Security and Drilling
Energy,Energy Security and Policy Reform,213,Climate Change Legislation
Energy,Energy Security and Policy Reform,214,Energy Security and Policy Reform
Energy,Energy Security and Policy Reform,215,Energy Independence and Policy Reform
Energy,Energy Security and Policy Reform,216,Oil and Gas Leasing Regulation
Energy,Energy Security and Policy Reform,217,Energy Policy and Regulation
Energy,Energy Security and Policy Reform,218,Federal Lands Leasing Strategy
Energy,Energy Security and Policy Reform,219,Energy Leasing Consultation
Energy,Energy Security and Policy Reform,220,Energy Security Accountability
Energy,Energy Security and Policy Reform,222,SPR Abuse and Policy Reform
Energy,Energy Security and Policy Reform,223,Energy Production Oversight
Energy,Energy Security and Policy Reform,225,Energy Policy and Gas Prices
Energy,Energy Security and Policy Reform,226,Energy Security Concerns
Energy,Energy Security and Policy Reform,333,Energy Security Reform
Energy,Energy Security and Policy Reform,343,Energy Security Concerns
Energy,Energy Security and Policy Reform,1486,Energy Security Concerns
Energy,Energy Security and Policy Reform,227,Energy Production and Policy Reform
Energy,Energy Security and Policy Reform,228,Federal Lands and Oil Production
Energy,Energy Security and Policy Reform,229,Energy Policy and Public Lands
Energy,Energy Security and Policy Reform,230,Offshore Drilling Concerns
Energy,Energy Security and Policy Reform,231,Offshore Drilling Opposition
Energy,Energy Security and Policy Reform,254,Offshore Drilling Concerns
Energy,Energy Security and Policy Reform,232,Energy Development and Land Rights
Energy,Energy Security and Policy Reform,233,Opposition to Oil and Gas Development
Energy,Energy Security and Policy Reform,234,Environmental Review of Oil Leases
Energy,Energy Security and Policy Reform,235,Amendment Germane Issues
Energy,Energy Security and Policy Reform,342,Energy Security and Policy Reform
Energy,Energy Security and Policy Reform,355,Amendment Germane Issues
Energy,Energy Security and Policy Reform,237,Energy Security Oversight
Energy,Energy Security and Policy Reform,239,Environmental Consultation in Energy Plans
Energy,Energy Security and Policy Reform,240,Energy Security Reform
Energy,Energy Security and Policy Reform,241,Offshore Oil Drilling Ban
Energy,Energy Security and Policy Reform,242,Biodiversity and Oil Spill Impact
Energy,Energy Security and Policy Reform,243,Energy Security and Production
Energy,Energy Security and Policy Reform,244,Public Lands and Oil Development
Energy,Energy Security and Policy Reform,245,Energy Production and Conservation
Energy,Energy Security and Policy Reform,246,Oil Drilling and Coastal Protection
Energy,Energy Security and Policy Reform,247,Oil and gas exploration restrictions
Energy,Energy Security and Policy Reform,248,Offshore Drilling and Coastal Protection
Energy,Energy Security and Policy Reform,249,Energy Security and Policy Reform
Energy,Energy Security and Policy Reform,250,Green Energy Transition
Energy,Energy Security and Policy Reform,761,Environmental Protections and Energy Policy
Energy,Energy Security and Policy Reform,800,Environmental Protection and Energy Policy
Energy,Energy Security and Policy Reform,831,Environmental Protection and Energy Policy
Energy,Energy Security and Policy Reform,867,Environmental Protection and Energy Security
Energy,Energy Security and Policy Reform,251,Offshore Drilling Policy
Energy,Energy Security and Policy Reform,252,Coastal Protection from Drilling
Energy,Energy Security and Policy Reform,253,Offshore Drilling and Ocean Policy
Energy,Energy Security and Policy Reform,255,Offshore Oil and Gas Regulation
Energy,Energy Security and Policy Reform,257,Amendment Germane Requirement
Energy,Energy Security and Policy Reform,258,Energy Funding Access Issues
Energy,Energy Security and Policy Reform,259,Oil and Gas Leasing Reform
Energy,Energy Security and Policy Reform,1055,Oil and Gas Leasing Reform
Energy,Energy Security and Policy Reform,260,Energy Production Policy
Energy,Energy Security and Policy Reform,317,Energy Production Regulation
Energy,Energy Security and Policy Reform,261,Tribal Consultation in Energy Policy
Energy,Energy Security and Policy Reform,262,Energy Leasing Consultation with Tribes
Energy,Energy Security and Policy Reform,263,Environmental Justice and Community Impact
Energy,Energy Security and Policy Reform,264,Energy Leasing Policy Impact
Energy,Energy Security and Policy Reform,265,Clean Energy Transition
Energy,Energy Security and Policy Reform,266,Renewable Energy Production
Energy,Energy Security and Policy Reform,891,Renewable Energy Production
Energy,Energy Security and Policy Reform,267,Energy Independence and Policy Reform
Energy,Energy Security and Policy Reform,268,Energy Security and Policy Reform
Energy,Energy Security and Policy Reform,294,Energy Security and Policy Reform
Energy,Energy Security and Policy Reform,269,Energy Policy Reform
Energy,Energy Security and Policy Reform,270,Energy Prices and Drilling Policy
Energy,Energy Security and Policy Reform,271,Amendment Germaneness Standards
Energy,Energy Security and Policy Reform,335,Nongermane Amendment Debate
Energy,Energy Security and Policy Reform,274,Energy Security Concerns
Energy,Energy Security and Policy Reform,276,Energy Policy Amendment Debate
Energy,Energy Security and Policy Reform,280,Oil and Gas Drilling Concerns
Energy,Energy Security and Policy Reform,281,Energy Security Concerns
Energy,Energy Security and Policy Reform,282,Climate Justice and Energy Policy
Energy,Energy Security and Policy Reform,283,Energy Policy and Climate Change
Energy,Energy Security and Policy Reform,284,Legislative Session Voting Decisions
Energy,Energy Security and Policy Reform,285,Environmental Discrimination in Energy Policy
Energy,Energy Security and Policy Reform,286,Energy Security Reform
Energy,Energy Security and Policy Reform,288,Energy Security and Production
Energy,Energy Security and Policy Reform,287,Climate Change Impact on Communities
Energy,Energy Security and Policy Reform,289,Energy Costs and Policy Reform
Energy,Energy Security and Policy Reform,845,Energy Policy Reform
Energy,Energy Security and Policy Reform,291,Energy Costs and Policy Reform
Energy,Energy Security and Policy Reform,292,Energy Production and Policy Reform
Energy,Energy Security and Policy Reform,293,Climate Change and Energy Policy
Energy,Energy Security and Policy Reform,296,Climate Change and Energy Policy
Energy,Energy Security and Policy Reform,302,Climate Change and Energy Policy
Energy,Energy Security and Policy Reform,760,Climate Change and Energy Policy
Energy,Energy Security and Policy Reform,777,Climate Change and Energy Policy
Energy,Energy Security and Policy Reform,781,Climate Change Legislation Opposition
Energy,Energy Security and Policy Reform,295,Climate Change and Fossil Fuel Production
Energy,Energy Security and Policy Reform,297,Fossil fuel industry practices
Energy,Energy Security and Policy Reform,298,Energy Security and Policy Reform
Energy,Energy Security and Policy Reform,299,Oil Leasing and Carbon Emissions
Energy,Energy Security and Policy Reform,301,Climate Change and Education
Energy,Energy Security and Policy Reform,303,Energy Security and Climate Policy
Energy,Energy Security and Policy Reform,308,Offshore Drilling Concerns
Energy,Energy Security and Policy Reform,310,Climate Change and Public Lands
Energy,Energy Security and Policy Reform,312,U.S. Oil Exports and Energy Security
Energy,Energy Security and Policy Reform,313,Oil Exports and Policy Reform
Energy,Energy Security and Policy Reform,314,Natural Gas and Energy Policy
Energy,Energy Security and Policy Reform,315,Natural Gas Production Policy
Energy,Energy Security and Policy Reform,316,Environmental Protection of Big Cypress Preserve
Energy,Energy Security and Policy Reform,318,Great Lakes Protection
Energy,Energy Security and Policy Reform,319,Energy Security Legislation
Energy,Energy Security and Policy Reform,320,Protecting Public Waters
Energy,Energy Security and Policy Reform,321,Energy Production Limits
Energy,Energy Security and Policy Reform,324,Speculative Leasing on Public Lands
Energy,Energy Security and Policy Reform,325,Oil and Gas Development
Energy,Energy Security and Policy Reform,326,Taxpayer Protection from Big Oil
Energy,Energy Security and Policy Reform,327,Energy Independence and Policy Reform
Energy,Energy Security and Policy Reform,328,Energy Production Reform
Energy,Energy Security and Policy Reform,329,Energy Regulation Delays
Energy,Energy Security and Policy Reform,336,Energy Security Timeline
Energy,Energy Security and Policy Reform,337,Public Participation in Regulatory Process
Energy,Energy Security and Policy Reform,339,Federal Oil and Gas Drilling
Energy,Energy Security and Policy Reform,341,Renewable Energy Development
Energy,Energy Security and Policy Reform,344,Orphaned Oil Wells Legislation
Energy,Energy Security and Policy Reform,345,Energy Production Reform
Energy,Energy Security and Policy Reform,346,Public Health and Oil Drilling
Energy,Energy Security and Policy Reform,347,Energy Production Restrictions
Energy,Energy Security and Policy Reform,349,Energy Policy Opposition
Energy,Energy Security and Policy Reform,350,Coastal Fisheries and Energy Policy
Energy,Energy Security and Policy Reform,351,Energy Security Concerns
Energy,Energy Security and Policy Reform,352,Energy Security and Price Gouging
Energy,Energy Security and Policy Reform,353,Energy Security Measures
Energy,Energy Security and Policy Reform,354,Oil and Gas Lobby Transparency
Energy,Energy Security and Policy Reform,356,Parliamentarian Ruling and Policy Reform
Energy,Energy Security and Policy Reform,357,Energy Drilling Permits and Taxes
Energy,Energy Security and Policy Reform,365,Oil and Gas Drilling in National Parks
Energy,Energy Security and Policy Reform,366,Energy Leasing and Policy Reform
Energy,Energy Security and Policy Reform,368,SPR Abuse and Energy Policy
Energy,Energy Security and Policy Reform,369,Energy Security and Policy Reform
Energy,Energy Security and Policy Reform,983,National Security and Oil Exports
Energy,Energy Security and Policy Reform,370,President Biden's Emergency Power
Energy,Energy Security and Policy Reform,371,Energy Security and Policy Reform
Energy,Energy Security and Policy Reform,373,Energy Costs and Policy Reform
Energy,Energy Security and Policy Reform,375,Gas Prices and Oil Production
Energy,Energy Security and Policy Reform,376,Energy Production and Policy Reform
Energy,Energy Security and Policy Reform,378,Amendment Germane Requirement
Energy,Energy Security and Policy Reform,379,Energy Policy and Policy Reform
Energy,Energy Security and Policy Reform,384,Cost-Share Accountability in Energy
Energy,Energy Security and Policy Reform,391,Cost-Share Accountability in Energy
Energy,Energy Security and Policy Reform,385,Cost-Sharing Accountability Act
Energy,Energy Security and Policy Reform,386,Cost-Sharing Accountability in Energy Grants
Energy,Energy Security and Policy Reform,387,Energy Policy Reform
Energy,Energy Security and Policy Reform,1472,Energy Savings Estimates
Energy,Energy Security and Policy Reform,388,Cost- Share Accountability in Energy
Energy,Energy Security and Policy Reform,389,Bipartisan Support for Energy Bill
Energy,Energy Security and Policy Reform,390,Energy Policy Transparency
Energy,Energy Security and Policy Reform,586,Climate Change and Energy Policy
Energy,Energy Security and Policy Reform,750,Debate Time and Procedure
Energy,Energy Security and Policy Reform,751,Energy Costs and Policy Reform
Energy,Energy Security and Policy Reform,803,Energy Policy Reform
Energy,Energy Security and Policy Reform,812,Energy Production and Policy Reform
Energy,Energy Security and Policy Reform,830,Energy Security and Policy Reform
Energy,Energy Security and Policy Reform,833,Energy Policy Reform
Energy,Energy Security and Policy Reform,838,Lowering Energy Costs
Energy,Energy Security and Policy Reform,846,Energy Policy Reform
Energy,Energy Security and Policy Reform,854,Energy Production and Policy Reform
Energy,Energy Security and Policy Reform,861,Energy Independence and Policy Reform
Energy,Energy Security and Policy Reform,877,Energy Access and Policy Reform
Energy,Energy Security and Policy Reform,894,Lowering Energy Costs
Energy,Energy Security and Policy Reform,908,Energy Costs and Policy Reform
Energy,Energy Security and Policy Reform,939,Lowering Energy Costs
Energy,Energy Security and Policy Reform,941,Lowering Energy Costs
Energy,Energy Security and Policy Reform,952,Lowering Energy Costs
Energy,Energy Security and Policy Reform,954,Energy Policy Reform
Energy,Energy Security and Policy Reform,752,Environmental Protection and Energy Policy
Energy,Energy Security and Policy Reform,852,Environmental Justice and Policy Reform
Energy,Energy Security and Policy Reform,753,Energy Policy Critique
Energy,Energy Security and Policy Reform,754,Energy affordability and policy reform
Energy,Energy Security and Policy Reform,755,Energy Policy Debate
Energy,Energy Security and Policy Reform,864,Energy Policy Debate
Energy,Energy Security and Policy Reform,886,Energy Policy Reform
Energy,Energy Security and Policy Reform,605,Social Security and Medicare Cuts
Energy,Energy Security and Policy Reform,756,Social Security and Medicare Cuts
Energy,Energy Security and Policy Reform,2802,Social Security and Medicare Cuts
Energy,Energy Security and Policy Reform,757,Social Security and Medicare Protections
Energy,Energy Security and Policy Reform,758,Energy Policy and Climate Change
Energy,Energy Security and Policy Reform,759,Energy Policy Reform
Energy,Energy Security and Policy Reform,764,Amendment Debate Issues
Energy,Energy Security and Policy Reform,765,Censorship and Debate Process
Energy,Energy Security and Policy Reform,766,Energy Policy Reform
Energy,Energy Security and Policy Reform,767,Energy Policy Reform
Energy,Energy Security and Policy Reform,768,Environmental Protection and Energy Policy
Energy,Energy Security and Policy Reform,769,Voting Rights and Policy Reform
Energy,Energy Security and Policy Reform,770,Climate Change and Policy Reform
Energy,Energy Security and Policy Reform,771,Gasoline Prices and Energy Policy
Energy,Energy Security and Policy Reform,772,Polluters and Environmental Legislation
Energy,Energy Security and Policy Reform,773,Energy and Environment Policy
Energy,Energy Security and Policy Reform,774,Environmental Protection Concerns
Energy,Energy Security and Policy Reform,825,Environmental Protection Concerns
Energy,Energy Security and Policy Reform,859,Environmental Protection Concerns
Energy,Energy Security and Policy Reform,872,Environmental Protection Concerns
Energy,Energy Security and Policy Reform,916,Environmental Protection Concerns
Energy,Energy Security and Policy Reform,1012,Environmental Protection Concerns
Energy,Energy Security and Policy Reform,1073,Environmental Protection Concerns
Energy,Energy Security and Policy Reform,775,Energy Policy Reform
Energy,Energy Security and Policy Reform,776,Energy Policy Reform
Energy,Energy Security and Policy Reform,778,Energy Policy Reform
Energy,Energy Security and Policy Reform,779,Energy and Agriculture
Energy,Energy Security and Policy Reform,780,NIMBY Opposition to Bill
Energy,Energy Security and Policy Reform,782,Energy Policy Reform
Energy,Energy Security and Policy Reform,783,Energy Production and Policy Reform
Energy,Energy Security and Policy Reform,784,Environmental Protection and Energy Policy
Energy,Energy Security and Policy Reform,786,Foreign Mining and Environmental Rights
Energy,Energy Security and Policy Reform,787,Opposition to H.R. 1
Energy,Energy Security and Policy Reform,795,Energy Costs and Big Oil
Energy,Energy Security and Policy Reform,798,Opposition to H.R. 1
Energy,Energy Security and Policy Reform,821,Opposition to H.R. 1
Energy,Energy Security and Policy Reform,880,Opposition to H.R. 1
Energy,Energy Security and Policy Reform,883,Opposition to H.R. 1
Energy,Energy Security and Policy Reform,890,Energy Security and Pollution Policy
Energy,Energy Security and Policy Reform,898,Climate Change Legislation Opposition
Energy,Energy Security and Policy Reform,914,Opposition to H.R. 1
Energy,Energy Security and Policy Reform,918,Energy Costs and Environmental Protection
Energy,Energy Security and Policy Reform,953,Environmental Protection and Energy Policy
Energy,Energy Security and Policy Reform,959,Opposition to H.R. 1
Energy,Energy Security and Policy Reform,789,Permitting Reform in Energy
Energy,Energy Security and Policy Reform,940,Permitting Reform and Climate Change
Energy,Energy Security and Policy Reform,2982,Permitting Reform in Energy
Energy,Energy Security and Policy Reform,790,Clean Energy Investment
Energy,Energy Security and Policy Reform,791,Environmental protections in energy policy
Energy,Energy Security and Policy Reform,793,Energy Costs and Policy Reform
Energy,Energy Security and Policy Reform,809,Energy Costs and Policy Reform
Energy,Energy Security and Policy Reform,858,Energy Costs and Policy Reform
Energy,Energy Security and Policy Reform,794,Energy Policy Reform
Energy,Energy Security and Policy Reform,796,Inflation and Energy Investment
Energy,Energy Security and Policy Reform,797,Environmental Policy Reform
Energy,Energy Security and Policy Reform,799,Energy independence and permitting reform
Energy,Energy Security and Policy Reform,801,Climate Change Policy
Energy,Energy Security and Policy Reform,1741,Climate Change and National Security
Energy,Energy Security and Policy Reform,1742,Climate Change and Energy Policy
Energy,Energy Security and Policy Reform,2421,Climate Change Executive Orders
Energy,Energy Security and Policy Reform,802,Natural Gas Production and Policy Reform
Energy,Energy Security and Policy Reform,922,Energy Policy Reform
Energy,Energy Security and Policy Reform,804,Democracy and Environmental Protection
Energy,Energy Security and Policy Reform,805,Environmental Protection and Corporate Greedy
Energy,Energy Security and Policy Reform,806,Mining and Energy Policy Reform
Energy,Energy Security and Policy Reform,807,Climate Crisis Response
Energy,Energy Security and Policy Reform,2525,Climate Crisis Response
Energy,Energy Security and Policy Reform,2621,Climate Crisis Response
Energy,Energy Security and Policy Reform,810,Climate Policy Criticism
Energy,Energy Security and Policy Reform,962,Climate Policy Opposition
Energy,Energy Security and Policy Reform,811,Energy Security and Permitting Reform
Energy,Energy Security and Policy Reform,813,Climate Change Legislation Opposition
Energy,Energy Security and Policy Reform,814,Energy Policy Opposition
Energy,Energy Security and Policy Reform,866,Energy Costs and Policy Reform
Energy,Energy Security and Policy Reform,815,Pollution and Health Costs
Energy,Energy Security and Policy Reform,817,Climate Change and Environmental Policy
Energy,Energy Security and Policy Reform,834,Climate Change Legislation Opposition
Energy,Energy Security and Policy Reform,818,Clean Energy Economy
Energy,Energy Security and Policy Reform,819,Inflation and Climate Policy
Energy,Energy Security and Policy Reform,820,Energy Costs and Policy Reform
Energy,Energy Security and Policy Reform,957,Energy Prices and Policy Reform
Energy,Energy Security and Policy Reform,822,Energy Production Reform
Energy,Energy Security and Policy Reform,823,Climate Change Policy Opposition
Energy,Energy Security and Policy Reform,824,Energy Independence and Natural Resources
Energy,Energy Security and Policy Reform,826,Coal-powered plants in China
Energy,Energy Security and Policy Reform,828,Climate Change and Clean Energy Policy
Energy,Energy Security and Policy Reform,829,Energy Costs and National Security
Energy,Energy Security and Policy Reform,836,Energy Independence
Energy,Energy Security and Policy Reform,837,Environmental Protection and Climate Change
Energy,Energy Security and Policy Reform,839,Energy Security and Regulations
Energy,Energy Security and Policy Reform,856,Energy independence and costs
Energy,Energy Security and Policy Reform,936,Energy independence and affordability
Energy,Energy Security and Policy Reform,840,Energy Production Reform
Energy,Energy Security and Policy Reform,842,Energy Policy Reform
Energy,Energy Security and Policy Reform,844,Energy Affordability and Prosperity
Energy,Energy Security and Policy Reform,847,American Energy Policy Reform
Energy,Energy Security and Policy Reform,849,Energy Independence Reform
Energy,Energy Security and Policy Reform,855,Clean Water Act Opposition
Energy,Energy Security and Policy Reform,857,Water Quality Protection
Energy,Energy Security and Policy Reform,860,Water Quality and Policy Reform
Energy,Energy Security and Policy Reform,862,Clean Water Legislation
Energy,Energy Security and Policy Reform,863,Clean Water Act and Energy Policy
Energy,Energy Security and Policy Reform,868,Energy Policy Reform
Energy,Energy Security and Policy Reform,902,Energy Independence
Energy,Energy Security and Policy Reform,869,Clean Water Protection
Energy,Energy Security and Policy Reform,871,Clean Water Protection
Energy,Energy Security and Policy Reform,870,Water Quality and Energy Infrastructure
Energy,Energy Security and Policy Reform,873,Clean Water Act Critique
Energy,Energy Security and Policy Reform,874,Permitting Reform Concerns
Energy,Energy Security and Policy Reform,878,Energy Policy Reform
Energy,Energy Security and Policy Reform,920,Energy Costs and Inflation
Energy,Energy Security and Policy Reform,879,Energy Policy Reform
Energy,Energy Security and Policy Reform,882,Consumer Choice in Energy Policy
Energy,Energy Security and Policy Reform,884,Energy Prices and Policy Reform
Energy,Energy Security and Policy Reform,887,Energy Security Concerns
Energy,Energy Security and Policy Reform,888,Opposition to H.R. 1
Energy,Energy Security and Policy Reform,889,Energy Policy Reform
